Name,Type,Price,Images url
Oranges,fruits,₹ 210.21,https://media.istockphoto.com/id/185284489/photo/orange.jpg?s=612x612&w=0&k=20&c=m4EXknC74i2aYWCbjxbzZ6EtRaJkdSJNtekh4m1PspE=
Apples,fruits,₹ 140.67,https://media.istockphoto.com/id/184276818/photo/red-apple.jpg?s=612x612&w=0&k=20&c=NvO-bLsG0DJ_7Ii8SSVoKLurzjmV0Qi4eGfn6nW3l5w=
Bananas,fruits,₹ 28.28,https://media.istockphoto.com/id/120492078/photo/banana.jpg?s=1024x1024&w=is&k=20&c=M9KLVNgqLft_btWgSu0iZAmdv2asI11Qel-6fsQK140=
Lettuce,vegrable,₹ 210.21,https://media.istockphoto.com/id/1387420863/photo/top-view-of-fresh-butterhead-lettuce-isolated.jpg?s=612x612&w=0&k=20&c=Pz7Lkz6KVnW9q9wgA4oKbLu4jl0hm8EtKlrxgun860M=
Tomatoes,vegetables,₹ 54.62,https://media.istockphoto.com/id/466175630/photo/tomato-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=ELzCVzaiRMgiO7A5zQLkuws0N_lvPxrgJWPn7C7BXz0=
Milk ,Dairy,₹ 28.28,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Oat_milk_glass_and_bottles.jpg/640px-Oat_milk_glass_and_bottles.jpg
Cheese,Dairy,₹ 28.28,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/AN_images/healthiest-cheese-1296x728-swiss.jpg?w=1155&h=1528
Parle-G,busicuits,₹ 22.00,"https://m.media-amazon.com/images/I/71bufOt9zAL._AC_UF1000,1000_QL80_.jpg"
Cottage cheese,Dairy,₹ 349.00,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Cottagecheese200px.jpg/1200px-Cottagecheese200px.jpg
mozrella cheese,Diary,₹ 341.00,https://4.imimg.com/data4/DJ/IA/MY-1442638/go-shredded-mozzarella-2kg.jpg
lays,snacks,₹ 14.00,https://www.bigbasket.com/media/uploads/p/xxl/102745_13-lays-potato-chips-american-style-cream-onion-flavour.jpg
corn,vegetables,₹ 42.00,https://www.shutterstock.com/image-photo/single-ear-corn-isolated-on-260nw-793795156.jpg
Pepsi,Drinks,₹ 21.00,https://www.bigbasket.com/media/uploads/p/xxl/40094179-10_2-pepsi-soft-drink.jpg
RedBull,Drinks,₹ 54.62,https://m.media-amazon.com/images/I/51VRzH-kQ+L.jpg
Tea,Drinks,₹ 113.00,https://5.imimg.com/data5/XT/RH/NF/SELLER-9371693/1.jpg
Water,Drinks,₹ 59.00,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.health.harvard.edu%2Fstaying-healthy%2Fhow-much-water-should-you-drink&psig=AOvVaw0rJBhfGj_B85UW8DQrO-3M&ust=1711965601751000&source=images&cd=vfe&opi=89978449&ved=0CBIQjRxqFwoTCMjzxv6enoUDFQAAAAAdAAAAABAE
Noodles,Pasta,₹ 34.00,https://shwetainthekitchen.com/wp-content/uploads/2023/03/vegetable-noodles.jpg
cococola,Drinks,₹ 42.00,https://www.coca-cola.com/content/dam/onexp/us/en/brands/coca-cola-multi-brand/coke-category-logos/v2/coca-cola.jpg
Monster Energy,Drinks,₹ 48.00,https://5.imimg.com/data5/SELLER/Default/2023/11/358677641/VZ/GF/YL/191746956/monster-energy-cold-drink.jpg
bingo ,snacks,₹ 55.00,https://fetchnbuy.in/cdn/shop/products/40100618_7-bingo-potato-chips-original-style-salt-sprinkled_grande.jpg?v=1637485484
Bread,Bakery,₹ 80.00,https://www.bhg.com/thmb/ov2S31znAvSCXqrpgJQ8rwBgzp8=/2250x0/filters:no_upscale():strip_icc()/BHG-milk-bread-4CdeIL1uKGyB5ryU8J_EED-aaa76729c86a413ca7500029edba79f0.jpg
Potato chips,Snacks,₹ 48.00,https://india.neelamfoodland.in/cdn/shop/products/IMG_3641_800x.jpg?v=1698400307
Too Yumm,Snacks,₹ 34.00,"https://m.media-amazon.com/images/I/71NIHBImUsL._AC_UF1000,1000_QL80_.jpg"
Garlic,vegetables,₹ 28.28,https://media.istockphoto.com/id/1340230644/photo/closeup-of-garlic-bulbs-on-wooden-table-with-garlics-blur-background-a-set-of-fresh-garlic-on.jpg?s=612x612&w=0&k=20&c=ViGupj8zL6dDwWKe79V5R2J_NyUqIMLpHduY1e58LGM=
carrot,vegetables,₹ 34.00,https://blog-images-1.pharmeasy.in/blog/production/wp-content/uploads/2021/04/23175719/shutterstock_440493100-1.jpg
cucumber,vegetables,₹ 42.00,https://www.shutterstock.com/image-photo/cucumber-slices-isolated-over-white-600nw-26951737.jpg
EggPlant,Vegetables,₹ 48.00,https://www.shutterstock.com/image-photo/aubergine-eggplant-isolated-on-white-600w-1418511650.jpg
spinach,vegetables,₹ 34.00,https://dukaan.b-cdn.net/1000x1000/webp/upload_file_service/6e430cde-3fce-46df-9f88-edbe32365237/spinach-1.png
Brocolli,vegetables,₹ 140.67,https://cdn.britannica.com/25/78225-050-1781F6B7/broccoli-florets.jpg
Grapes ,Fruits,₹210.21   ,     https://media.istockphoto.com/photos/red-grapes-with-leaves-isolated-on-white-picture-id155042932?k=20&m=155042932&s=612x612&w=0&h=HBlSeKoX5pVhx7DM9OwwP_3CYsHQO3C1-czKMyPshU0=,,,
Peaches       ,  Fruits ,      ₹280.28  ,      https://media.istockphoto.com/photos/fresh-peaches-picture-id184717618?k=20&m=184717618&s=612x612&w=0&h=BZdp2fZ0Sv9sSzdzCOeNE0_40PQkYc6c2NdPn_Uee-M=,,,
Plums         ,  Fruits ,      ₹245.62  ,      https://media.istockphoto.com/photos/plums-picture-id509288224?k=20&m=509288224&s=612x612&w=0&h=9SufPOs5Hzys3OM-IyWj__Y4Qbd7CT3aZG6P0WSofa4=,,,
Kiwi          ,  Fruits  ,     ₹140.67  ,      https://media.istockphoto.com/photos/kiwi-fruit-picture-id512325246?k=20&m=512325246&s=612x612&w=0&h=O71J7cOUyUoVfotEtb9YVRPArI4ltYF4RQ0vz0L_Eio=,,,
Blueberries   ,  Fruits  ,     ₹420.42  ,      https://media.istockphoto.com/photos/fresh-blueberries-picture-id535076033?k=20&m=535076033&s=612x612&w=0&h=sbfIBv51tXgHjig3scBMRJ4nI7K7onxHmxYRWrEnSd4=,,,
Strawberries  ,  Fruits   ,    ₹349.72  ,      https://media.istockphoto.com/photos/strawberry-isolated-picture-id184595129?k=20&m=184595129&s=612x612&w=0&h=bpDmz--Rl4HrykgDpIIS3hA7S7tEZMhBk_7cYnDgfE8=,,,
Pineapple     ,  Fruits   ,    ₹489.06 ,       https://media.istockphoto.com/photos/pineapple-picture-id477915724?k=20&m=477915724&s=612x612&w=0&h=YQ4ClbkLYK5tfCHU2g_Wk2e5v86sv7BvC6_mOZjMDQo=,,,
Watermelon    ,  Fruits   ,    ₹59.86   ,      https://media.istockphoto.com/photos/watermelon-on-white-background-picture-id185204456?k=20&m=185204456&s=612x612&w=0&h=0MMujKmyxSdSkzefcHhQypzfAEig2H7c7J66t60HWpM=,,,
Avocado       ,  Fruits  ,     ₹280.28 ,       https://media.istockphoto.com/photos/avocado-on-a-white-background-picture-id1170628126?k=20&m=1170628126&s=612x612&w=0&h=6rx7OWTQxF-5J0vLcN8o8jPSjPOfBx_xFz91aB9zJNo=,,,
Coconut       ,  Fruits  ,     ₹80.45   ,      https://media.istockphoto.com/photos/whole-coconut-with-white-flesh-isolated-on-white-background-picture-id1193134383?k=20&m=1193134383&s=612x612&w=0&h=rXYQs4-r5u6Tb5dyM-R1nJZ_cxjmrL7f0PyvYUZ9mRc=,,,
Mango         ,  Fruits   ,    ₹112.63  ,      https://media.istockphoto.com/photos/mango-isolated-on-white-background-picture-id175009059?k=20&m=175009059&s=612x612&w=0&h=c5VqJ8XGcJUX6xZqUGK47HZiXp-hQ-Xv3Tj0CfR3wZ4=,,,
Pomegranate   ,  Fruits  ,     ₹91.48   ,      https://media.istockphoto.com/photos/pomegranate-picture-id1150511588?k=20&m=1150511588&s=612x612&w=0&h=ROx9Q2kzBEFcj2EECpGTvk3XUBwOX1TpZ-L8Xdqpgsw=,,,
Guava         ,  Fruits  ,     ₹59.86   ,      https://media.istockphoto.com/photos/guava-isolated-on-white-background-picture-id184871233?k=20&m=184871233&s=612x612&w=0&h=cXWDoD3Xoh5VG8Qvz7T6tRUaHtK8hCt4rNXpm3yAvMs=,,,
Dragon Fruit  ,  Fruits  ,     ₹245.62  ,      https://media.istockphoto.com/photos/dragon-fruit-isolated-on-white-background-picture-id1302854532?k=20&m=1302854532&s=612x612&w=0&h=YV1obR4FTxWV7b9KXXTn8CqweUcT6gNlFsL6Ww2LpwQ=,,,
Cherries      ,  Fruits  ,     ₹561.47  ,      https://media.istockphoto.com/photos/cherries-picture-id1268598276?k=20&m=1268598276&s=612x612&w=0&h=f8N5PJ1soCpNy4FrtPdsFYhUC-zfbN4K1JN2qIRPG9M=,,,
Apricot       ,  Fruits  ,     ₹168.44  ,      https://media.istockphoto.com/photos/apricot-isolated-on-white-background-picture-id520926990?k=20&m=520926990&s=612x612&w=0&h=k71-GzezEDQfRjH8Uum05hN7VMFwTT3xVvEwOUxGQTc=,,,
Asparagus      , Vegetables ,  ₹280.28    ,    https://media.istockphoto.com/photos/asparagus-on-white-background-picture-id511422117?k=20&m=511422117&s=612x612&w=0&h=YR24mc-8CMl9VyvQnldTXp22AucEJd-9gtvKoWEjQCI=,,,
Broccoli      ,  Vegetables ,  ₹245.62    ,    https://media.istockphoto.com/photos/broccoli-on-white-background-picture-id477857308?k=20&m=477857308&s=612x612&w=0&h=slYsJdzR4p0JAXH0x5v20vRntxyy_K9P0W5C8JOe5lw=,,,
Cauliflower   ,  Vegetables ,  ₹210.21    ,    https://media.istockphoto.com/photos/cauliflower-isolated-on-white-background-picture-id1186880481?k=20&m=1186880481&s=612x612&w=0&h=srIX3Dkm4BIDK4oZOlO_pWfGvZ3A3GSo0Dajm-lt0Kw=,,,
